date,ddpg,td3,ppo,sac,mean var,dji
2023-10-02,1000000.0,1000000.0,1000000.0,1000000.0,1005879.2027869127,1000000.0
2023-10-03,995126.6692354204,996877.3344558717,998996.874475193,996896.3922488672,992916.4650884088,987109.4988653967
2023-10-04,996345.0982133867,999476.8742824557,998980.2783404579,998304.8831520043,998144.2165490063,990913.2418064018
2023-10-05,996860.5311767047,998682.7663894655,998608.8978148077,1000010.2306927377,1000998.1674672861,990614.7234621866
2023-10-06,1005968.3640418723,1005560.1291130068,998901.8573808174,1005322.9567715799,1008245.9860934154,999229.1099666804
2023-10-09,1011548.7556634697,1009618.6907959292,1001806.3426431996,1010384.0969797631,1013787.001689472,1005123.5328495194
2023-10-10,1016351.0388277152,1013329.5541716311,1004734.5111705663,1014603.9193772088,1015669.658478571,1009151.0185025292
2023-10-11,1018161.7494261649,1012814.6958854677,1004732.4829642982,1017541.8587849542,1017585.7423658764,1011112.2431310988
2023-10-12,1013339.6504163193,1006664.0917225039,998691.7151564902,1014020.490463627,1015058.6276055527,1005915.9208770996
2023-10-13,1016604.9762334274,1003993.2187634013,999433.4450007629,1020104.0660421945,1020639.144445766,1007086.860542745
2023-10-16,1026611.4571138938,1014258.0560407297,1005947.4450547218,1026978.4025904828,1025354.2723661531,1016486.1575115977
2023-10-17,1025433.6995839332,1013853.6132802622,1005867.4171694565,1023923.6853162062,1022135.3426653699,1016878.2622330013
2023-10-18,1013207.930849955,1005938.8510541575,1001769.7061861,1016353.4929257643,1016968.52531376,1006931.0000843563
2023-10-19,1004122.3493336891,1003817.0502195017,996269.5091693115,1008907.4565477831,1011372.3778849739,999426.3306966354
2023-10-20,997415.4493779396,998432.7656278269,990434.0840300865,1004007.5923317339,1003890.129718344,990845.3595527856
2023-10-23,990139.5758142646,993400.6761541025,979999.5293113213,995282.6253414919,999350.3069911302,985136.3568704436
2023-10-24,996324.7985613769,999365.8325948374,985790.9360363636,1003351.1911656935,1003618.864629322,991267.0240162974
2023-10-25,990744.7625868743,998291.1443357127,981256.2363019276,1002203.4334041197,1002250.8272553431,988113.0112170458
2023-10-26,985305.2310378783,987181.1048192637,974668.9009031696,994052.1688589766,990642.1286935713,980586.7269981392
2023-10-27,970675.9087123931,983476.7167653696,965227.2583383847,980003.4933282834,987881.797205419,969618.3101221203
2023-10-30,986786.1011505187,997061.8583249705,981607.2958910028,996074.6497945158,1000817.4763872294,984913.5488538414
2023-10-31,987406.570268637,1004657.837450947,987693.1970878487,1001985.3876072504,1007677.5544943953,988619.7329621969
2023-11-01,992471.4105262817,1013915.2654981272,993090.9183704281,1006029.9735199548,1013302.451566447,995251.0463330848
2023-11-02,1009776.5437088073,1029840.9772634165,1012376.3798486958,1022818.6847359277,1029750.5448558885,1012135.3840862033
2023-11-03,1017295.9307270111,1033039.9097127573,1017533.9385823422,1032301.6826416589,1026801.4111030404,1018782.704115861
2023-11-06,1017147.3742580474,1037311.638647999,1016880.1586692868,1033198.4285637476,1032357.9043195717,1019815.7762096185
2023-11-07,1018979.9480190338,1042318.982649769,1016509.0020401402,1034254.7656761743,1039237.7506210606,1021512.949386945
2023-11-08,1017727.7250366271,1042189.2388677256,1015186.7223501148,1033750.5551258661,1040056.0077501658,1020306.6081329249
2023-11-09,1010246.8291683258,1031920.932688679,1006069.8125998612,1025622.2393738367,1033566.865087969,1013716.5381966782
2023-11-10,1020027.9451007904,1044745.8665952341,1016471.1520552159,1033428.8889023401,1045743.9733790793,1025416.2373883302
2023-11-13,1021753.1795787872,1042657.5857648508,1019371.6949273167,1036704.2074380609,1043247.4714182091,1027054.4079183657
2023-11-14,1038440.6309127868,1059658.3081960336,1039041.6023590947,1047688.6120095941,1057533.1456272756,1041705.2910068983
2023-11-15,1043718.7598743499,1063165.4475240365,1044526.0166053562,1050997.066534588,1060739.751822664,1046595.9678642374
