,date,account_value
0,2023-10-02,1000000.0
1,2023-10-03,998158.4506126405
2,2023-10-04,998896.4456092836
3,2023-10-05,997054.9806823734
4,2023-10-06,1006415.8119361881
5,2023-10-09,1009117.4033481602
6,2023-10-10,1014825.2791538242
7,2023-10-11,1015809.5482003788
8,2023-10-12,1009943.7533700565
9,2023-10-13,1009363.901990662
10,2023-10-16,1021527.8937356571
11,2023-10-17,1026268.0515267948
12,2023-10-18,1005336.0020272831
13,2023-10-19,997364.3580148319
14,2023-10-20,983383.2093331913
15,2023-10-23,978003.5278909305
16,2023-10-24,989807.3462503055
17,2023-10-25,976855.5903909305
18,2023-10-26,965971.6221902469
19,2023-10-27,957981.5969522098
20,2023-10-30,973426.9560830692
21,2023-10-31,972749.4534280399
22,2023-11-01,980728.889905701
23,2023-11-02,1002722.113935242
24,2023-11-03,1010135.3721749882
25,2023-11-06,1008471.5770242313
26,2023-11-07,1011219.8859078983
27,2023-11-08,1008676.5211923221
28,2023-11-09,1002168.0826699833
29,2023-11-10,1016722.3964669803
30,2023-11-13,1016365.8832681278
31,2023-11-14,1036013.7157266239
32,2023-11-15,1043254.1654794315
33,2023-11-16,1043105.5172402958
34,2023-11-17,1049414.7360055547
35,2023-11-20,1053315.4928262334
36,2023-11-21,1050733.1889779668
37,2023-11-22,1053172.2783334355
38,2023-11-24,1056763.0044076543
39,2023-11-27,1056743.738157044
40,2023-11-28,1059859.9096810918
41,2023-11-29,1068955.472745667
42,2023-11-30,1091661.5542428594
43,2023-12-01,1107470.9789102178
44,2023-12-04,1101049.1454599004
45,2023-12-05,1097855.9721200566
46,2023-12-06,1094601.9999520879
47,2023-12-07,1097886.7006509404
48,2023-12-08,1100678.7800119023
49,2023-12-11,1111236.970365296
50,2023-12-12,1120253.4537026982
51,2023-12-13,1133798.2894265752
52,2023-12-14,1149460.015638123
53,2023-12-15,1155414.1258370976
54,2023-12-18,1159651.1554849248
55,2023-12-19,1171056.0567910771
56,2023-12-20,1154333.4895761113
57,2023-12-21,1168781.9390542607
58,2023-12-22,1160215.2351968389
59,2023-12-26,1169722.7400033574
60,2023-12-27,1173850.9750802617
61,2023-12-28,1175822.749067078
62,2023-12-29,1172862.2921731572
63,2024-01-02,1164486.229902039
64,2024-01-03,1147238.134931336
65,2024-01-04,1149534.131665955
66,2024-01-05,1152451.9154641728
67,2024-01-08,1165413.3212258916
68,2024-01-09,1161779.6426217656
69,2024-01-10,1164932.27222992
70,2024-01-11,1169603.800214539
71,2024-01-12,1164603.1518228154
72,2024-01-16,1154818.513898621
73,2024-01-17,1148551.35476471
74,2024-01-18,1155840.2581613164
75,2024-01-19,1172343.0457131963
76,2024-01-22,1175142.5556161504
77,2024-01-23,1168692.1682107549
78,2024-01-24,1166297.1953866582
79,2024-01-25,1183010.4137704473
80,2024-01-26,1185351.6854531865
81,2024-01-29,1199227.6403176885
82,2024-01-30,1208217.16927887
83,2024-01-31,1187923.6125924687
84,2024-02-01,1197366.2773263555
85,2024-02-02,1203744.4017922978
86,2024-02-05,1203629.0619638066
87,2024-02-06,1207197.8364846807
88,2024-02-07,1215177.3828866582
89,2024-02-08,1214380.756665955
90,2024-02-09,1213794.5777261357
91,2024-02-12,1218610.9773995976
92,2024-02-13,1200049.3943917851
93,2024-02-14,1213833.3459603887
94,2024-02-15,1227851.7086007695
95,2024-02-16,1219770.5006539922
96,2024-02-20,1213022.538648377
97,2024-02-21,1215512.8614480596
98,2024-02-22,1234549.2644631963
99,2024-02-23,1236791.882322083
100,2024-02-26,1241869.9389016728
101,2024-02-27,1242462.7963388066
102,2024-02-28,1244090.391660462
103,2024-02-29,1255910.1335733037
104,2024-03-01,1262234.1372811894
105,2024-03-04,1261268.2975137334
106,2024-03-05,1242691.9167306523
107,2024-03-06,1252467.297254334
108,2024-03-07,1258368.5144631963
109,2024-03-08,1260054.1129739385
110,2024-03-11,1258494.5375497441
111,2024-03-12,1266904.8413674932
112,2024-03-13,1273981.8589761357
113,2024-03-14,1265958.5980203252
114,2024-03-15,1261747.7999398808
115,2024-03-18,1273074.5361306767
116,2024-03-19,1279985.7821023564
117,2024-03-20,1296129.7815225224
118,2024-03-21,1307198.5192849736
119,2024-03-22,1288344.1590402226
120,2024-03-25,1279886.5038278203
121,2024-03-26,1278954.0135324101
122,2024-03-27,1292044.5911843877
123,2024-03-28,1294940.7663400273
124,2024-04-01,1292834.9321725469
125,2024-04-02,1289077.513547669
126,2024-04-03,1291959.7676980596
127,2024-04-04,1268084.928403626
128,2024-04-05,1285802.79818512
129,2024-04-08,1284859.0882547002
130,2024-04-09,1283058.013334046
131,2024-04-10,1272126.567426453
132,2024-04-11,1276689.5575082402
133,2024-04-12,1256238.124067078
134,2024-04-15,1236945.0312020879
135,2024-04-16,1233372.5293557744
136,2024-04-17,1231927.7507302861
137,2024-04-18,1229961.5284097295
138,2024-04-19,1241269.213697205
139,2024-04-22,1252263.9421365361
140,2024-04-23,1265838.594632874
141,2024-04-24,1266613.1775643926
142,2024-04-25,1244157.3972146611
143,2024-04-26,1245625.0927484136
144,2024-04-29,1251681.767553101
145,2024-04-30,1229759.290021668
146,2024-05-01,1226379.813344727
147,2024-05-02,1231811.748601685
148,2024-05-03,1234484.9536492925
149,2024-05-06,1245744.1086557012
150,2024-05-07,1252149.1244104009
151,2024-05-08,1258654.9351403813
152,2024-05-09,1267334.9652764897
153,2024-05-10,1276101.0535104375
154,2024-05-13,1277984.1997201543
155,2024-05-14,1281555.9603936772
156,2024-05-15,1295100.620755921
157,2024-05-16,1290081.9448678594
158,2024-05-17,1296973.7028634648
159,2024-05-20,1292773.397542725
160,2024-05-21,1287955.099370728
161,2024-05-22,1281072.4583642583
162,2024-05-23,1262782.4755761723
163,2024-05-24,1262620.1974465947
164,2024-05-28,1254753.5324151616
165,2024-05-29,1243792.042844544
166,2024-05-30,1215084.1570413213
167,2024-05-31,1235547.9155938725
168,2024-06-03,1227590.0064981084
169,2024-06-04,1227200.651738892
170,2024-06-05,1228861.3085610967
171,2024-06-06,1232684.5632913213
172,2024-06-07,1237516.3743875127
173,2024-06-10,1236047.9058892827
174,2024-06-11,1224042.5002801518
175,2024-06-12,1213524.633771668
176,2024-06-13,1208365.0422723393
177,2024-06-14,1207681.4111306767
178,2024-06-17,1214427.2796304326
179,2024-06-18,1221446.289731751
180,2024-06-20,1237090.694936524
181,2024-06-21,1239342.0322244267
182,2024-06-24,1241847.1947381597
183,2024-06-25,1235253.8095071416
184,2024-06-26,1233502.2228524785
185,2024-06-27,1238238.529271851
186,2024-06-28,1232758.2078073125
187,2024-07-01,1231408.3203790288
188,2024-07-02,1239007.591268311
189,2024-07-03,1243501.7562234502
190,2024-07-05,1243496.8563592534
191,2024-07-08,1235182.5411355596
192,2024-07-09,1231276.4289682012
193,2024-07-10,1237137.191053162
194,2024-07-11,1238750.5177743535
195,2024-07-12,1246254.221372376
196,2024-07-15,1259235.025266419
197,2024-07-16,1282269.8352487187
198,2024-07-17,1285368.1015298467
199,2024-07-18,1271317.9437844853
200,2024-07-19,1254914.54427887
201,2024-07-22,1267313.092832337
202,2024-07-23,1264482.4024484258
203,2024-07-24,1237506.212400208
204,2024-07-25,1239815.9763162236
205,2024-07-26,1276910.1120889287
206,2024-07-29,1269666.6621453862
207,2024-07-30,1277013.0599343877
208,2024-07-31,1283413.2741372685
209,2024-08-01,1260515.321775208
210,2024-08-02,1223688.6062066655
211,2024-08-05,1195785.2519509892
212,2024-08-06,1210846.216771851
213,2024-08-07,1206702.7803704839
214,2024-08-08,1233678.5832269292
215,2024-08-09,1239490.406339417
216,2024-08-12,1234559.4461038213
217,2024-08-13,1246739.972860108
218,2024-08-14,1252829.6465203862
219,2024-08-15,1278667.1878564458
220,2024-08-16,1283124.7160394292
221,2024-08-19,1288813.5290505986
222,2024-08-20,1286493.5748803716
223,2024-08-21,1284046.7739236455
224,2024-08-22,1281174.0090692143
225,2024-08-23,1296752.874662171
226,2024-08-26,1305332.3504846196
227,2024-08-27,1309892.8582589726
228,2024-08-28,1302355.6736581426
229,2024-08-29,1313024.9676873784
230,2024-08-30,1318735.2777078252
231,2024-09-03,1292528.1692864995
232,2024-09-04,1288768.9001290898
233,2024-09-05,1279464.2223565679
234,2024-09-06,1260414.3545053105
235,2024-09-09,1278452.8914926152
236,2024-09-10,1266945.0377175908
237,2024-09-11,1279033.7720468144
238,2024-09-12,1287875.1916177373
239,2024-09-13,1296651.7216775517
240,2024-09-16,1310010.8974282842
241,2024-09-17,1316833.089528809
242,2024-09-18,1308542.02474762
243,2024-09-19,1336950.1550271611
244,2024-09-20,1340475.304273377
245,2024-09-23,1343152.8999688725
246,2024-09-24,1350225.270375977
247,2024-09-25,1346184.8808114629
248,2024-09-26,1361938.8163354497
249,2024-09-27,1366662.8447244267
250,2024-09-30,1362962.8904245
251,2024-10-01,1358441.134099732
252,2024-10-02,1359715.4805734258
253,2024-10-03,1353181.890096436
254,2024-10-04,1374618.559110413
255,2024-10-07,1366220.4706475835
256,2024-10-08,1364656.7755868535
257,2024-10-09,1379364.0809762578
258,2024-10-10,1378741.5809533696
259,2024-10-11,1395204.484349976
260,2024-10-14,1395455.7217767339
261,2024-10-15,1388797.2425515752
262,2024-10-16,1407792.7073266606
263,2024-10-17,1412959.8367669682
264,2024-10-18,1410196.557447205
265,2024-10-21,1397196.0814950566
266,2024-10-22,1392469.3686578374
267,2024-10-23,1379463.2556283574
268,2024-10-24,1372033.2981546025
269,2024-10-25,1367018.25811554
270,2024-10-28,1381367.651159058
271,2024-10-29,1377200.4770867925
272,2024-10-30,1374514.4816567998
273,2024-10-31,1364804.0614907842
274,2024-11-01,1376238.83863617
275,2024-11-04,1370306.070035706
276,2024-11-05,1383571.0969827275
277,2024-11-06,1462813.3271768193
278,2024-11-07,1446899.441495667
279,2024-11-08,1449025.9964578252
280,2024-11-11,1474947.26302887
281,2024-11-12,1472372.9719216924
282,2024-11-13,1469732.566900025
283,2024-11-14,1460371.4930932622
284,2024-11-15,1453569.6618249516
285,2024-11-18,1451472.7902963262
286,2024-11-19,1446649.7696511846
287,2024-11-20,1443577.0932519536
288,2024-11-21,1465489.7753198247
289,2024-11-22,1488946.3934915166
290,2024-11-25,1502849.59380127
291,2024-11-26,1507041.5010507207
292,2024-11-27,1494852.5108850102
293,2024-11-29,1500602.6972940068
294,2024-12-02,1493507.4209878545
295,2024-12-03,1483682.248464356
296,2024-12-04,1506631.0173471074
297,2024-12-05,1498139.1453683476
298,2024-12-06,1503353.5894219975
299,2024-12-09,1486276.6802880864
300,2024-12-10,1483019.4312112432
301,2024-12-11,1490200.400808106
302,2024-12-12,1484198.1242272954
303,2024-12-13,1480535.6876046758
304,2024-12-16,1488128.7682244878
305,2024-12-17,1478748.912664185
306,2024-12-18,1432267.6280801396
307,2024-12-19,1438676.8394067388
308,2024-12-20,1459984.065335999
309,2024-12-23,1458881.711530457
310,2024-12-24,1472783.8741662602
311,2024-12-26,1474327.0729272466
312,2024-12-27,1462568.8359353642
313,2024-12-30,1448572.8872201543
314,2024-12-31,1448281.9000833135
315,2025-01-02,1442509.9531304936
316,2025-01-03,1453999.2344567876
317,2025-01-06,1444703.502156983
318,2025-01-07,1442058.0195977788
319,2025-01-08,1444275.2572229009
320,2025-01-10,1414034.03520752
321,2025-01-13,1431972.6274392705
322,2025-01-14,1448732.9589364629
323,2025-01-15,1467239.4551599126
324,2025-01-16,1475050.5989129643
325,2025-01-17,1490530.4543054204
326,2025-01-21,1518544.199964295
327,2025-01-22,1525693.294141541
328,2025-01-23,1543137.3886239629
329,2025-01-24,1537025.4608819585
330,2025-01-27,1541985.2200143437
331,2025-01-28,1543481.5542428594
332,2025-01-29,1542838.6679360967
333,2025-01-30,1538024.8815515141
334,2025-01-31,1528334.7799966435
335,2025-02-03,1518854.5793206792
336,2025-02-04,1524114.9468057256
337,2025-02-05,1531919.2939202886
338,2025-02-06,1516628.9537408452
339,2025-02-07,1502644.691381226
340,2025-02-10,1502163.6515023808
341,2025-02-11,1503960.5717675786
342,2025-02-12,1497049.556287537
343,2025-02-13,1508105.7158258061
344,2025-02-14,1505532.7310540776
345,2025-02-18,1522744.810193787
346,2025-02-19,1517394.400228272
347,2025-02-20,1494680.9226663213
348,2025-02-21,1470065.4326684575
349,2025-02-24,1467280.3631723027
350,2025-02-25,1468723.2111871343
351,2025-02-26,1471396.948728333
352,2025-02-27,1464558.8228738408
