date,account_value
2023-10-02,1000000.0
2023-10-03,987109.4988653967
2023-10-04,990913.2418064018
2023-10-05,990614.7234621866
2023-10-06,999229.1099666804
2023-10-09,1005123.5328495194
2023-10-10,1009151.0185025292
2023-10-11,1011112.2431310988
2023-10-12,1005915.9208770996
2023-10-13,1007086.860542745
2023-10-16,1016486.1575115977
2023-10-17,1016878.2622330013
2023-10-18,1006931.0000843563
2023-10-19,999426.3306966354
2023-10-20,990845.3595527856
2023-10-23,985136.3568704436
2023-10-24,991267.0240162974
2023-10-25,988113.0112170458
2023-10-26,980586.7269981392
2023-10-27,969618.3101221203
2023-10-30,984913.5488538414
2023-10-31,988619.7329621969
2023-11-01,995251.0463330848
2023-11-02,1012135.3840862033
2023-11-03,1018782.704115861
2023-11-06,1019815.7762096185
2023-11-07,1021512.949386945
2023-11-08,1020306.6081329249
2023-11-09,1013716.5381966782
2023-11-10,1025416.2373883302
2023-11-13,1027054.4079183657
2023-11-14,1041705.2910068983
2023-11-15,1046595.9678642374
2023-11-16,1045227.807468637
2023-11-17,1045282.0198019894
2023-11-20,1051376.4675009914
2023-11-21,1049499.5991325092
2023-11-22,1055025.2846790105
2023-11-24,1058528.2893742193
2023-11-27,1056832.985587698
2023-11-28,1059330.8422143029
2023-11-29,1059732.8780743591
2023-11-30,1075300.2300051714
2023-12-01,1084112.0709134708
2023-12-04,1082883.9979913395
2023-12-05,1080494.6828683652
2023-12-06,1078397.109547937
2023-12-07,1080279.9365996108
2023-12-08,1084182.9909271454
2023-12-11,1088880.6531838414
2023-12-12,1094055.47744358
2023-12-13,1109378.4065266042
2023-12-14,1114107.6147531387
2023-12-15,1115806.7741581958
2023-12-18,1115832.478281768
2023-12-19,1123366.9410854476
2023-12-20,1109131.9974510856
2023-12-21,1118773.6142030705
2023-12-22,1118223.779632473
2023-12-26,1122990.2588381877
2023-12-27,1126316.0219176724
2023-12-28,1127918.674022408
2023-12-29,1127303.644447477
2024-01-02,1128066.3558960236
2024-01-03,1119546.4904641206
2024-01-04,1119850.032796125
2024-01-05,1120620.805992519
2024-01-08,1127108.4099452526
2024-01-09,1122387.029792715
2024-01-10,1127488.8309741232
2024-01-11,1127946.1306998602
2024-01-12,1124415.552490274
2024-01-16,1117480.5799504565
2024-01-17,1114655.5799329309
2024-01-18,1120695.5816247298
2024-01-19,1132515.856523321
2024-01-22,1136643.7050951882
2024-01-23,1133761.571821177
2024-01-24,1130798.7042317633
2024-01-25,1138059.0676086214
2024-01-26,1139862.6792249226
2024-01-29,1146563.160055605
2024-01-30,1150566.927812773
2024-01-31,1141085.1439746378
2024-02-01,1152138.150784595
2024-02-02,1156163.5333729486
2024-02-05,1147959.1276394338
2024-02-06,1152183.600348548
2024-02-07,1156849.5997984796
2024-02-08,1158314.267494402
2024-02-09,1156680.0694198275
2024-02-12,1160439.4143292075
2024-02-13,1144747.6310729205
2024-02-14,1149279.6185695
2024-02-15,1159713.8570229157
2024-02-16,1155372.8978992489
2024-02-20,1153453.0335422454
2024-02-21,1154901.811416323
2024-02-22,1168566.9413658564
2024-02-23,1170433.9954326109
2024-02-26,1168570.5633105417
2024-02-27,1165674.6432793415
2024-02-28,1164975.0237704723
2024-02-29,1166391.9051639352
2024-03-01,1169113.3876656191
2024-03-04,1166195.6191293828
2024-03-05,1154092.832545346
2024-03-06,1156361.8056352318
2024-03-07,1160259.1349534253
2024-03-08,1158205.4923169208
2024-03-11,1159610.3395070743
2024-03-12,1166664.018363026
2024-03-13,1167795.5839848355
2024-03-14,1163678.1338993225
2024-03-15,1157968.5470323537
2024-03-18,1160231.5614390478
2024-03-19,1169812.7735006376
2024-03-20,1181817.767578174
2024-03-21,1189870.869493388
2024-03-22,1180734.105095749
2024-03-25,1175880.9328914406
2024-03-26,1174944.3680980047
2024-03-27,1189233.9914134208
2024-03-28,1190648.5360683766
2024-04-01,1183454.536065105
2024-04-02,1171591.7325256942
2024-04-03,1170302.6707285412
2024-04-04,1154445.4463859885
2024-04-05,1163629.6465753112
2024-04-08,1163293.50674114
2024-04-09,1163020.4588466466
2024-04-10,1150393.541815585
2024-04-11,1150320.7524111052
2024-04-12,1136088.262352175
2024-04-15,1128666.6640183632
2024-04-16,1130576.7140736384
2024-04-17,1129211.00725347
2024-04-18,1129871.1358815779
2024-04-19,1136182.783424766
2024-04-22,1143767.486106337
2024-04-23,1151655.1469352855
2024-04-24,1150375.8994398606
2024-04-25,1139155.9326636086
2024-04-26,1143757.90547846
2024-04-29,1148137.654461336
2024-04-30,1131083.7863295658
2024-05-01,1133696.96100147
2024-05-02,1143339.1619380815
2024-05-03,1156799.3599205883
2024-05-06,1162081.2068039284
2024-05-07,1163038.1012223714
2024-05-08,1168186.5203369856
2024-05-09,1178097.9135495548
2024-05-10,1181839.0318985838
2024-05-13,1179406.4871132376
2024-05-14,1183193.0550262192
2024-05-15,1193658.3721017723
2024-05-16,1192503.2054210466
2024-05-17,1196517.488501494
2024-05-20,1190630.543181876
2024-05-21,1192611.1627400501
2024-05-22,1186570.8105374754
2024-05-23,1168451.8569944075
2024-05-24,1168581.3123076719
2024-05-28,1162098.849179653
2024-05-29,1149796.154616379
2024-05-30,1139924.0186107203
2024-05-31,1157117.6237051839
2024-06-03,1153669.2986910292
2024-06-04,1157864.4453318857
2024-06-05,1160736.9979780202
2024-06-06,1163095.234478857
2024-06-07,1160487.551142443
2024-06-10,1162552.8774714805
2024-06-11,1158945.1868911772
2024-06-12,1157892.0188462634
2024-06-13,1155944.5809748827
2024-06-14,1154211.5388614803
2024-06-17,1159862.82410271
2024-06-18,1161560.4646277379
2024-06-20,1170530.6195698578
2024-06-21,1170996.2147172932
2024-06-24,1178799.2856123038
2024-06-25,1169854.6011199052
2024-06-26,1170322.4161689219
2024-06-27,1171406.896509824
2024-06-28,1170054.9764468442
2024-07-01,1171570.2345314336
2024-07-02,1176425.6266373235
2024-07-03,1175712.2203712657
2024-07-05,1177742.261948854
2024-07-08,1176812.5905340125
2024-07-09,1175232.7216297162
2024-07-10,1188075.9038095614
2024-07-11,1189044.7155943878
2024-07-12,1196436.9878599423
2024-07-15,1202742.6767199389
2024-07-16,1224958.8675604379
2024-07-17,1232244.9350608687
2024-07-18,1216301.0177197217
2024-07-19,1205010.2477667206
2024-07-22,1208836.0728866127
2024-07-23,1207120.673148935
2024-07-24,1192039.362827491
2024-07-25,1194468.0519943011
2024-07-26,1214037.4191284012
2024-07-29,1212559.548859917
2024-07-30,1218643.2475617887
2024-07-31,1221618.1493545112
2024-08-01,1206817.948675408
2024-08-02,1188551.546932575
2024-08-05,1157624.5791241857
2024-08-06,1166429.8771646668
2024-08-07,1159424.5687958016
2024-08-08,1179854.4398849483
2024-08-09,1181381.3816620705
2024-08-12,1177178.1732733664
2024-08-13,1189400.367195089
2024-08-14,1196661.081082723
2024-08-15,1213251.3402947888
2024-08-16,1216143.7552182293
2024-08-19,1223225.591773185
2024-08-20,1221384.2418300027
2024-08-21,1223044.8450497014
2024-08-22,1217729.5828057174
2024-08-23,1231556.9992445325
2024-08-26,1233514.368254566
2024-08-27,1233812.8865987812
2024-08-28,1229054.8196516903
2024-08-29,1236341.8218475236
2024-08-30,1243162.1773635934
2024-09-03,1224433.9192549356
2024-09-04,1225571.6772337877
2024-09-05,1219014.7889843343
2024-09-06,1206741.4204893177
2024-09-09,1221223.357383825
2024-09-10,1218452.8033735028
2024-09-11,1222184.1074208037
2024-09-12,1229214.7694024656
2024-09-13,1238098.4650198424
2024-09-16,1244926.88228376
2024-09-17,1244451.3559976718
2024-09-18,1241368.2632120948
2024-09-19,1256984.102466918
2024-09-20,1258125.716064306
2024-09-23,1259958.8874227153
2024-09-24,1262458.4966032
2024-09-25,1253680.7720770964
2024-09-26,1261468.1868241131
2024-09-27,1265592.5302882204
2024-09-30,1266105.4443904138
2024-10-01,1260925.596142886
2024-10-02,1262108.5700118402
2024-10-03,1256577.2762929234
2024-10-04,1266781.4628403664
2024-10-07,1254861.8765552456
2024-10-08,1258634.540874113
2024-10-09,1271544.6706121718
2024-10-10,1269813.4978895746
2024-10-11,1282068.8734980905
2024-10-14,1288091.5833249404
2024-10-15,1278376.8266577
2024-10-16,1288464.877301366
2024-10-17,1293290.9433389984
2024-10-18,1294393.416566401
2024-10-21,1284095.059457143
2024-10-22,1283894.3336194279
2024-10-23,1271632.8824907949
2024-10-24,1267427.8047112855
2024-10-25,1259652.3073306524
2024-10-28,1267822.9471927476
2024-10-29,1263201.2289375155
2024-10-30,1260464.090287837
2024-10-31,1249155.6779591113
2024-11-01,1257791.679294791
2024-11-04,1250087.1019278325
2024-11-05,1262867.075331075
2024-11-06,1307973.2555604447
2024-11-07,1307955.6131847198
2024-11-08,1315721.7636113265
2024-11-11,1324818.6866174284
2024-11-12,1313388.5302125101
2024-11-13,1314800.6212920342
2024-11-14,1308599.2678063563
2024-11-15,1299450.5860423339
2024-11-18,1297793.9552780965
2024-11-19,1294184.9794916145
2024-11-20,1298358.2776274348
2024-11-21,1312173.309352165
2024-11-22,1324919.8673947633
2024-11-25,1338082.1312176813
