date,ddpg,td3,ppo,sac,mean var,dji
2023-10-02,1000000.0,1000000.0,1000000.0,1000000.0,1005879.1853290641,1000000.0
2023-10-03,998158.4506126405,997045.0219221116,999264.4471633966,999217.6036728971,992916.4479185762,987109.4988653967
2023-10-04,998896.4456092836,997997.9978616717,999896.551310972,999493.8752569923,998144.2110465097,990913.2418064018
2023-10-05,997054.9806823734,1000577.0240053178,1000018.893724487,999536.9289781168,1000998.1704450569,990614.7234621866
2023-10-06,1006415.8119361881,1015024.3572526781,1002739.6955455851,1001425.415222143,1008246.0380360715,999229.1099666804
2023-10-09,1009117.4033481602,1021412.6174033053,1004094.9415845657,1002904.2948276463,1013787.0771242334,1005123.5328495194
2023-10-10,1014825.2791538242,1023845.8768836443,1004664.2547135731,1004218.8440097714,1015669.6571826828,1009151.0185025292
2023-10-11,1015809.5482003788,1024744.0262546312,1007700.8485962978,1005370.9683933564,1017585.7201834822,1011112.2431310988
2023-10-12,1009943.7533700565,1021740.3659863779,1006315.9239797627,1002476.3745077709,1015058.6998576899,1005915.9208770996
2023-10-13,1009363.901990662,1021436.6140866587,1007171.6785008542,1002148.8162580322,1020639.1945137476,1007086.860542745
2023-10-16,1021527.8937356571,1028261.3837170908,1011238.2043510264,1006871.8776486707,1025354.3636204764,1016486.1575115977
2023-10-17,1026268.0515267948,1028265.0465512583,1010839.9400219134,1006744.6684233767,1022135.3001132895,1016878.2622330013
2023-10-18,1005336.0020272831,1012434.3286404917,1005741.3721556279,1000464.2842577446,1016968.5230688042,1006931.0000843563
2023-10-19,997364.3580148319,1005326.1171078989,1001468.3858762833,995377.221668742,1011372.3916229707,999426.3306966354
2023-10-20,983383.2093331913,997615.7713361094,992627.8142367587,989285.245938241,1003890.2271057565,990845.3595527856
2023-10-23,978003.5278909305,993661.9351468394,990128.0163970677,985480.9980335091,999350.3214894214,985136.3568704436
2023-10-24,989807.3462503055,1001714.8167691538,995819.3276388089,989416.9990586976,1003618.8325120558,991267.0240162974
2023-10-25,976855.5903909305,1000154.2946057627,991269.5623928772,986553.1970751197,1002250.9003855801,988113.0112170458
2023-10-26,965971.6221902469,987854.0421490977,982700.7545318905,980982.7080163028,990642.1741918209,980586.7269981392
2023-10-27,957981.5969522098,981068.1582913706,974596.8931395947,970423.1603113124,987881.8463134383,969618.3101221203
2023-10-30,973426.9560830692,994687.3147244761,988037.926774822,986630.90639902,1000817.5521127116,984913.5488538414
2023-10-31,972749.4534280399,996549.468090565,993956.8104468687,989536.3385147216,1007677.4816874589,988619.7329621969
2023-11-01,980728.889905701,1005264.1478925059,999379.0785555493,997442.8347119605,1013302.3861440206,995251.0463330848
2023-11-02,1002722.113935242,1020155.1067090342,1016979.8661417386,1015079.3580884254,1029750.4845142118,1012135.3840862033
2023-11-03,1010135.3721749882,1024125.816250355,1025311.3701433865,1025319.93205922,1026801.4531455396,1018782.704115861
2023-11-06,1008471.5770242313,1025626.256283314,1027683.5281565588,1025039.660689286,1032357.9083656815,1019815.7762096185
2023-11-07,1011219.8859078983,1029513.5024762461,1030649.9104161565,1026078.8212003028,1039237.6877131457,1021512.949386945
2023-11-08,1008676.5211923221,1029428.0285535166,1030029.3196555898,1026065.8607472694,1040055.9953369552,1020306.6081329249
2023-11-09,1002168.0826699833,1026363.0326581309,1026017.3566674459,1020425.8948468482,1033566.9119676705,1013716.5381966782
2023-11-10,1016722.3964669803,1038271.2688947031,1039293.181194801,1032803.3865994727,1045743.9984044118,1025416.2373883302
2023-11-13,1016365.8832681278,1042281.6771741221,1038988.8792490022,1036815.7703694617,1043247.4059183061,1027054.4079183657
2023-11-14,1036013.7157266239,1053036.3534894297,1050638.6026008755,1053297.2156628883,1057533.1246410806,1041705.2910068983
2023-11-15,1043254.1654794315,1056810.8793530772,1054552.0451841657,1057892.0360707557,1060739.775530919,1046595.9678642374
2023-11-16,1043105.5172402958,1058999.7484402964,1058842.5010840872,1059452.2461385047,1059632.135299462,1045227.807468637
2023-11-17,1049414.7360055547,1057411.1530499766,1057325.7104795224,1059918.7811345374,1057375.0550161921,1045282.0198019894
2023-11-20,1053315.4928262334,1067074.5958676646,1064321.6240562666,1068476.8402852332,1061934.653903554,1051376.4675009914
2023-11-21,1050733.1889779668,1067146.9346204111,1061176.2083686825,1065401.852232865,1062261.1664727752,1049499.5991325092
2023-11-22,1053172.2783334355,1071028.143871815,1069601.5156105878,1072302.8872365272,1068489.0302284101,1055025.2846790105
2023-11-24,1056763.0044076543,1074753.7710995981,1072946.423515598,1075553.8192738807,1070408.1808273501,1058528.2893742193
2023-11-27,1056743.738157044,1072264.195698292,1071995.2278745382,1073745.1934994971,1068231.2770338107,1056832.985587698
2023-11-28,1059859.9096810918,1073177.3912549326,1075801.102064098,1076681.3539304053,1069620.5875574008,1059330.8422143029
2023-11-29,1068955.472745667,1074328.2699704478,1073351.679927488,1079896.3165082252,1063569.5658687314,1059732.8780743591
2023-11-30,1091661.5542428594,1097227.0927777598,1087654.675059671,1097877.7515439307,1078595.3322762873,1075300.2300051714
2023-12-01,1107470.9789102178,1104855.4514584849,1089636.7795329033,1108850.09769719,1083726.1717651384,1084112.0709134708
2023-12-04,1101049.1454599004,1099533.264309437,1087496.0823752915,1107968.386998803,1084096.2778415517,1082883.9979913395
2023-12-05,1097855.9721200566,1102215.8368115732,1086467.9018060472,1103928.131589356,1091828.9599938,1080494.6828683652
2023-12-06,1094601.9999520879,1099884.1267667124,1081271.8797443216,1102893.0927761046,1090376.7161729543,1078397.109547937
2023-12-07,1097886.7006509404,1102061.9180875132,1084560.6040359132,1105498.7196435267,1092128.6885793135,1080279.9365996108
2023-12-08,1100678.7800119023,1108535.826305897,1086963.6977162836,1113051.894175921,1094007.431543341,1084182.9909271454
2023-12-11,1111236.970365296,1107342.3871732065,1086919.6886147459,1117864.807342736,1092139.3107469622,1088880.6531838414
2023-12-12,1120253.4537026982,1112382.1561551401,1093886.150181438,1123447.2297308128,1098609.6603158657,1094055.47744358
2023-12-13,1133798.2894265752,1123463.7868695566,1103981.656415056,1139516.7850420158,1116371.2840583522,1109378.4065266042
2023-12-14,1149460.015638123,1124786.8404965708,1099068.1505922792,1149591.3855726402,1108965.9320511261,1114107.6147531387
2023-12-15,1155414.1258370976,1128404.8869138071,1103293.65256237,1153120.6012804192,1106888.4496878758,1115806.7741581958
2023-12-18,1159651.1554849248,1126182.3919263193,1105334.3729460218,1150918.902094094,1102575.7015588167,1115832.478281768
2023-12-19,1171056.0567910771,1132778.5474820444,1110580.6548075178,1159897.1512357872,1104594.6525470032,1123366.9410854476
2023-12-20,1154333.4895761113,1117041.8580899546,1095493.1772072923,1145059.2302496117,1092117.470698168,1109131.9974510856
2023-12-21,1168781.9390542607,1127155.1149716685,1106306.8759307573,1155309.277925698,1097033.2792405454,1118773.6142030705
2023-12-22,1160215.2351968389,1127124.3792767832,1108183.8541564844,1154063.7081014793,1096815.00678174,1118223.779632473
2023-12-26,1169722.7400033574,1131522.2241330454,1111515.4699422128,1158954.943487374,1096810.1647694057,1122990.2588381877
2023-12-27,1173850.9750802617,1133508.1275754282,1114806.6199927633,1162543.5674554985,1099541.1822175924,1126316.0219176724
2023-12-28,1175822.749067078,1134851.7088208506,1117934.739104328,1164174.6418783348,1101587.4468339155,1127918.674022408
2023-12-29,1172862.2921731572,1133903.586208851,1119227.2643093124,1163653.7588979881,1100728.08417847,1127303.644447477
2024-01-02,1164486.229902039,1130982.9593167612,1118648.2924291857,1162823.9160368126,1098716.0591846164,1128066.3558960236
2024-01-03,1147238.134931336,1123456.133022816,1112720.4503362805,1151554.3734342735,1092984.6241319636,1119546.4904641206
2024-01-04,1149534.131665955,1124005.203045399,1113106.820877836,1153432.632003991,1090701.8940605216,1119850.032796125
2024-01-05,1152451.9154641728,1124727.0051694224,1111725.7171424197,1155801.2117845695,1086360.311981714,1120620.805992519
2024-01-08,1165413.3212258916,1128251.7781644175,1116727.7089330193,1157177.7875501793,1098903.1617472535,1127108.4099452526
2024-01-09,1161779.6426217656,1127810.1141858408,1113885.1683028352,1150828.9342157524,1098500.1505537017,1122387.029792715
2024-01-10,1164932.27222992,1133287.0067258189,1119343.4386652543,1155719.8940794151,1109160.7496095072,1127488.8309741232
